date,product_id,product_name,price,units,rating
2024-01-01,P1001,Alpha Watch,1984.78,6,4.0
2024-01-01,P1002,Beta Earbuds,1547.51,10,3.7
2024-01-01,P1003,Gamma Phone Case,392.13,20,5.0
2024-01-01,P1004,Delta Power Bank,953.5,12,3.5
2024-01-01,P1005,Epsilon Charger,781.71,7,3.4
2024-01-02,P1001,Alpha Watch,2031.35,11,5.0
2024-01-02,P1002,Beta Earbuds,1569.36,11,3.9
2024-01-02,P1003,Gamma Phone Case,307.52,22,3.6
2024-01-02,P1004,Delta Power Bank,1038.78,8,4.8
2024-01-02,P1005,Epsilon Charger,764.24,4,3.4
2024-01-03,P1001,Alpha Watch,1943.89,7,4.3
2024-01-03,P1002,Beta Earbuds,1546.67,9,3.4
2024-01-03,P1003,Gamma Phone Case,385.02,17,3.6
2024-01-03,P1004,Delta Power Bank,960.33,10,3.8
2024-01-03,P1005,Epsilon Charger,823.57,12,3.8
2024-01-04,P1001,Alpha Watch,1948.12,7,5.0
2024-01-04,P1002,Beta Earbuds,1441.96,10,4.1
2024-01-04,P1003,Gamma Phone Case,411.81,20,3.1
2024-01-04,P1004,Delta Power Bank,992.48,14,4.1
2024-01-04,P1005,Epsilon Charger,784.57,11,4.3
2024-01-05,P1001,Alpha Watch,1977.13,11,3.5
2024-01-05,P1002,Beta Earbuds,1502.8,15,3.6
2024-01-05,P1003,Gamma Phone Case,381.55,16,3.8
2024-01-05,P1004,Delta Power Bank,991.05,6,3.7
2024-01-05,P1005,Epsilon Charger,772.3,1,4.6
2024-01-06,P1001,Alpha Watch,1906.11,13,4.2
2024-01-06,P1002,Beta Earbuds,1150.36,16,4.4
2024-01-06,P1003,Gamma Phone Case,398.4,20,4.0
2024-01-06,P1004,Delta Power Bank,993.71,11,2.8
2024-01-06,P1005,Epsilon Charger,792.87,6,2.9
2024-01-07,P1001,Alpha Watch,1946.49,6,3.6
2024-01-07,P1002,Beta Earbuds,1512.27,16,3.4
2024-01-07,P1003,Gamma Phone Case,417.45,18,4.3
2024-01-07,P1004,Delta Power Bank,1037.83,18,4.5
2024-01-07,P1005,Epsilon Charger,835.94,13,3.9
2024-01-08,P1001,Alpha Watch,1927.29,2,3.4
2024-01-08,P1002,Beta Earbuds,1476.5,13,4.2
2024-01-08,P1003,Gamma Phone Case,382.88,26,3.8
2024-01-08,P1004,Delta Power Bank,1023.35,8,3.4
2024-01-08,P1005,Epsilon Charger,812.11,6,3.8
2024-01-09,P1001,Alpha Watch,2024.44,6,3.9
2024-01-09,P1002,Beta Earbuds,1555.2,15,3.4
2024-01-09,P1003,Gamma Phone Case,395.95,20,3.9
2024-01-09,P1004,Delta Power Bank,994.69,10,3.3
2024-01-09,P1005,Epsilon Charger,814.59,5,4.0
2024-01-10,P1001,Alpha Watch,1987.33,5,5.0
2024-01-10,P1002,Beta Earbuds,1491.02,8,4.1
2024-01-10,P1003,Gamma Phone Case,407.77,20,3.2
2024-01-10,P1004,Delta Power Bank,1045.43,14,4.1
2024-01-10,P1005,Epsilon Charger,661.4,9,3.9
2024-01-11,P1001,Alpha Watch,1963.44,7,3.4
2024-01-11,P1002,Beta Earbuds,1451.99,12,4.2
2024-01-11,P1003,Gamma Phone Case,416.39,20,4.8
2024-01-11,P1004,Delta Power Bank,968.2,7,3.8
2024-01-11,P1005,Epsilon Charger,828.53,11,4.0
2024-01-12,P1001,Alpha Watch,2013.84,2,4.0
2024-01-12,P1002,Beta Earbuds,1567.17,11,4.2
2024-01-12,P1003,Gamma Phone Case,381.05,14,3.3
2024-01-12,P1004,Delta Power Bank,1009.11,10,4.4
2024-01-12,P1005,Epsilon Charger,828.12,9,4.0
2024-01-13,P1001,Alpha Watch,2001.22,7,4.7
2024-01-13,P1002,Beta Earbuds,1476.17,18,5.0
2024-01-13,P1003,Gamma Phone Case,403.38,22,2.1
2024-01-13,P1004,Delta Power Bank,1031.38,13,3.6
2024-01-13,P1005,Epsilon Charger,795.68,11,4.6
2024-01-14,P1001,Alpha Watch,2085.4,11,5.0
2024-01-14,P1002,Beta Earbuds,1570.15,15,3.5
2024-01-14,P1003,Gamma Phone Case,381.04,26,4.0
2024-01-14,P1004,Delta Power Bank,954.0,13,4.9
2024-01-14,P1005,Epsilon Charger,773.88,11,3.9
2024-01-15,P1001,Alpha Watch,1984.76,6,4.5
2024-01-15,P1002,Beta Earbuds,1484.85,12,3.3
2024-01-15,P1003,Gamma Phone Case,414.11,22,4.9
2024-01-15,P1004,Delta Power Bank,991.07,3,4.0
2024-01-15,P1005,Epsilon Charger,766.58,10,3.9
2024-01-16,P1001,Alpha Watch,2043.32,7,4.7
2024-01-16,P1002,Beta Earbuds,1557.68,8,5.0
2024-01-16,P1003,Gamma Phone Case,403.3,19,3.8
2024-01-16,P1004,Delta Power Bank,1016.69,9,3.8
2024-01-16,P1005,Epsilon Charger,796.95,6,3.7
2024-01-17,P1001,Alpha Watch,1970.11,9,4.1
2024-01-17,P1002,Beta Earbuds,1503.68,16,4.5
2024-01-17,P1003,Gamma Phone Case,329.96,16,4.9
2024-01-17,P1004,Delta Power Bank,984.86,3,2.9
2024-01-17,P1005,Epsilon Charger,775.47,7,5.0
2024-01-18,P1001,Alpha Watch,1948.3,5,3.7
2024-01-18,P1002,Beta Earbuds,1506.66,12,4.0
2024-01-18,P1003,Gamma Phone Case,305.0,21,2.1
2024-01-18,P1004,Delta Power Bank,987.54,13,4.2
2024-01-18,P1005,Epsilon Charger,808.92,12,3.6
2024-01-19,P1001,Alpha Watch,1579.42,5,4.3
2024-01-19,P1002,Beta Earbuds,1214.49,7,4.1
2024-01-19,P1003,Gamma Phone Case,381.87,19,4.2
2024-01-19,P1004,Delta Power Bank,964.4,13,4.4
2024-01-19,P1005,Epsilon Charger,767.4,12,4.6
2024-01-20,P1001,Alpha Watch,2060.92,5,3.8
2024-01-20,P1002,Beta Earbuds,1488.16,9,3.9
2024-01-20,P1003,Gamma Phone Case,403.34,21,3.2
2024-01-20,P1004,Delta Power Bank,979.6,10,3.5
2024-01-20,P1005,Epsilon Charger,788.94,10,3.7
2024-01-21,P1001,Alpha Watch,2069.18,11,5.0
2024-01-21,P1002,Beta Earbuds,1212.31,8,4.4
2024-01-21,P1003,Gamma Phone Case,409.9,21,4.6
2024-01-21,P1004,Delta Power Bank,997.98,9,4.5
2024-01-21,P1005,Epsilon Charger,775.97,6,3.9
2024-01-22,P1001,Alpha Watch,2089.56,6,4.1
2024-01-22,P1002,Beta Earbuds,1471.5,13,3.9
2024-01-22,P1003,Gamma Phone Case,405.93,23,3.7
2024-01-22,P1004,Delta Power Bank,1026.6,11,2.8
2024-01-22,P1005,Epsilon Charger,769.25,15,3.9
2024-01-23,P1001,Alpha Watch,2030.84,11,3.0
2024-01-23,P1002,Beta Earbuds,1437.63,14,4.2
2024-01-23,P1003,Gamma Phone Case,391.47,19,2.8
2024-01-23,P1004,Delta Power Bank,1018.78,12,5.0
2024-01-23,P1005,Epsilon Charger,771.53,4,4.8
2024-01-24,P1001,Alpha Watch,2036.2,9,3.7
2024-01-24,P1002,Beta Earbuds,1572.05,7,3.8
2024-01-24,P1003,Gamma Phone Case,402.66,22,4.4
2024-01-24,P1004,Delta Power Bank,1034.39,10,4.2
2024-01-24,P1005,Epsilon Charger,772.7,7,4.3
2024-01-25,P1001,Alpha Watch,2016.8,9,4.8
2024-01-25,P1002,Beta Earbuds,1424.79,10,3.4
2024-01-25,P1003,Gamma Phone Case,414.04,24,4.1
